,VIBE,KP3R,BCD,NAS,VET,BCH,CTXC,CELR,ONTGAS,POA,VTHO,BLZ,GHST,PPT,WINGS,NMR,NBS,BEAM,ENG,SUSHI,FORCEPROTOCOL,CVP,MITH,EASY2,MTH,BZRX,XRP,IRIS,ETH,TOMO,FET,FTXTOKEN,PAX,FUN,HEGIC,NEO,PNT2,EOS,BNT,IOTX,SC,AE,GVT,YFII,JST,XLM,FIO,WAVES,TRB,NXS,HSR,ARK,BCHA,CTR,RPX,YFI,CTSI,KNC,VITE,IOST,RLC,CRV,ERD,STEEM,ETHBEAR,DLT,USDS,OMG,SNM,BNB,AAVE,MFT,NANO,SYS,GO,MBL,INJ,AGI,YOYOW,MDT,AUDIO,COCOS,DOT,AION,SUSD,NEBL,SNGLS,WNXM,BSV,THETA,DATA,STORM,QSP,UNFI,USDC,BAT,ALGO,ETHBULL,VIA,ATOM,ARDR,POWR,PERL,ORN,LINK,DREP,SALT,BGBP,LUN,COVER,BKRW,STPT,DNT,KEY,ICX,BTCBEAR,KAVA,CERTIK,VIDT,DASH,SKY,LEND,HARMONY,LTO,BAL,XMR,SOL,ONT,LRC,AVAX,AXS2,COS,ADA,INS,FTM,XRPBEAR,MTL,BCN,GLM,GRS,HBAR,FLM,ARN,NEAR,OAX,CDT,QTUM,NCASH,ADX,BTCBULL,ENJ,XVG,LOOM,APPC,CREAM,STRAT,SWRV,WRX,HIVE2,GTO,TCT,BEL,BLOCKSTACK,TNB,UNI,XTZ,LSK,DGD,BNBBEAR,ICN,USDT,AVA,HOT,SLP,SCRT,MKR,AKRO,ZIL,MDA,REQ,SAND2,KMD,REN,REP,EOSBULL,ZEN,ARPA,DGB,XZC,DENT,MATIC,AERGO,STMX,HC,SKL,WTC,DIA,NAV,IQ,NULS,DF,WAN,STRAX,IOT,UMA,RVN,VEN,RSR,UTK,FIL,BCPT,XRPBULL,BITTORRENT,EDO,BRD,RENBTC,QKC,GXC,WPR,FRONT,GNT,OGN,RDN,ANT,SXP,ETC,CMT,SNT,DUSK,CHAT,HELIUM,OST,SUN2,BEL2,PIVX,POLY,XVS,RCN,CVC,EGLD,WING2,BTG,TNT,AST,TRIG,EOSBEAR,WABI,MANA,OXT,WBTC,DOCK,ZEC,PAXG,NKN,SNX,HARD,LUNA,QLC,CHR,TUSD,GAS,DAI,POE,LTC,ETHOS,COTI,BTS,PHX,CHZ,BOT2,KSM,RUNE,MOD,BAND,SUB,ANKR,AMB,ZRX,BUSD,VIB,WINK,NPXS,EVX,MCO,BTCB,CND,TRX,ELF,SRM,DCR,COMP,BTC,ALPHA,OCEAN,STORJ,BNBBULL,ROSE,TFUEL,TROYTRADE
2017-01-31T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00625413,,10.66182531,,,,,,,0.1459033,,,,,0.00037684,,,,,0.00235896,,0.22471724,,0.11415242,,,,,,,,,,,,,,0.16127071,,,,,,,,,,0.0098167,,,,,,,,,,,,,,,,,,,,,,,,,0.04159388,,0.01898006,,,,,,,,,,,,,,,,,,,15.99732933,,,,,,12.92715435,,,,,,,,,,,,5.681e-05,,0.0040679,,,,,,,,,,,,2.899e-05,,,,0.09017195,,,,,,,,,,,0.1590477,,,0.405262,0.99901063,,,,,,,,,,,,,4.27448854,,,,0.00027126,1.73890644,,,,,,,,,0.04388475,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35026346,,,,,,,,,0.01353712,,,,,,,,,,,,,,,,,39.35477354,,,,,,,,,,,,4.0573034,,,0.00402925,,,,,,,,,,,,,,,,,,,,,,,2.27732263,,966.00035769,,,,,,,
2017-02-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00657373,,10.71778491,,,,,,,0.14729573,,,,,0.00038603,,,,,0.00235634,,0.23461808,,0.11789796,,,,,,,,,,,,,,0.16467589,,,,,,,,,,0.00998507,,,,,,,,,,,,,,,,,,,,,,,,,0.04599501,,0.01864344,,,,,,,,,,,,,,,,,,,15.94839965,,,,,,13.30737246,,,,,,,,,,,,5.648e-05,,0.00371184,,,,,,,,,,,,1.98e-05,,,,0.09194896,,,,,,,,,,,0.15938457,,,0.42285055,1.00668612,,,,,,,,,,,,,4.21621363,,,,0.00027663,1.73409274,,,,,,,,,0.04311196,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35094729,,,,,,,,,0.01395652,,,,,,,,,,,,,,,,,39.89628454,,,,,,,,,,,,4.05909948,,,0.00406818,,,,,,,,,,,,,,,,,,,,,,,2.49747666,,989.60369654,,,,,,,
2017-02-02T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0064587,,10.83294366,,,,,,,0.14630127,,,,,0.00038607,,,,,0.00242501,,0.21614277,,0.11750837,,,,,,,,,,,,,,0.16674389,,,,,,,,,,0.01008928,,,,,,,,,,,,,,,,,,,,,,,,,0.04637077,,0.01934588,,,,,,,,,,,,,,,,,,,16.46824776,,,,,,13.18551065,,,,,,,,,,,,5.093e-05,,0.00353561,,,,,,,,,,,,3.048e-05,,,,0.09590937,,,,,,,,,,,0.15919509,,,0.43292755,1.00784527,,,,,,,,,,,,,4.12996459,,,,0.00029347,1.44289627,,,,,,,,,0.0424014,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36604517,,,,,,,,,0.01396974,,,,,,,,,,,,,,,,,39.37245778,,,,,,,,,,,,4.12507232,,,0.00413504,,,,,,,,,,,,,,,,,,,,,,,2.60630215,,1015.38368235,,,,,,,
2017-02-03T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00646981,,11.03735906,,,,,,,0.13367915,,,,,0.00038911,,,,,0.00238635,,0.22734477,,0.12082834,,,,,,,,,,,,,,0.16235251,,,,,,,,,,0.01028666,,,,,,,,,,,,,,,,,,,,,,,,,0.04507698,,0.01936385,,,,,,,,,,,,,,,,,,,17.44010755,,,,,,12.80670542,,,,,,,,,,,,5.343e-05,,0.00354293,,,,,,,,,,,,2.048e-05,,,,0.09540499,,,,,,,,,,,0.15916828,,,0.43869815,1.008375,,,,,,,,,,,,,4.07632436,,,,0.00027647,1.53499097,,,,,,,,,0.04270465,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34720682,,,,,,,,,0.01357783,,,,,,,,,,,,,,,,,38.77957379,,,,,,,,,,,,4.05517345,,,0.0039218,,,,,,,,,,,,,,,,,,,,,,,2.59988032,,1023.54836201,,,,,,,
2017-02-04T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00641495,,11.34137107,,,,,,,0.13453501,,,,,0.00039311,,,,,0.00237972,,0.22298379,,0.11367976,,,,,,,,,,,,,,0.16352807,,,,,,,,,,0.01261096,,,,,,,,,,,,,,,,,,,,,,,,,0.04664131,,0.01782967,,,,,,,,,,,,,,,,,,,17.48275283,,,,,,12.51841145,,,,,,,,,,,,5.828e-05,,0.00803796,,,,,,,,,,,,2.069e-05,,,,0.08854357,,,,,,,,,,,0.15756252,,,0.45211466,1.00207201,,,,,,,,,,,,,4.19388158,,,,0.00026897,1.59310973,,,,,,,,,0.04504439,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37432213,,,,,,,,,0.01285867,,,,,,,,,,,,,,,,,39.01053453,,,,,,,,,,,,4.02661563,,,0.00405519,,,,,,,,,,,,,,,,,,,,,,,3.33014899,,1034.5100805,,,,,,,
2017-02-05T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00635868,,11.22209899,,,,,,,0.13029107,,,,,0.00039674,,,,,0.00232608,,0.22472362,,0.10487984,,,,,,,,,,,,,,0.15801496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04707656,,0.01873091,,,,,,,,,,,,,,,,,,,16.88163266,,,,,,12.68032494,,,,,,,,,,,,5.689e-05,,0.00664273,,,,,,,,,,,,2.035e-05,,,,0.08637162,,,,,,,,,,,0.16301923,,,0.44120144,1.00711141,,,,,,,,,,,,,4.1123267,,,,0.00028413,1.36270548,,,,,,,,,0.04409155,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37396482,,,,,,,,,0.01243096,,,,,,,,,,,,,,,,,37.72283993,,,,,,,,,,,,3.97250941,,,0.00394698,,,,,,,,,,,,,,,,,,,,,,,3.03582088,,1016.97180581,,,,,,,
2017-02-06T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00640594,,11.32918304,,,,,,,0.12480159,,,,,0.00042236,,,,,0.00235367,,0.26271522,,0.10299351,,,,,,,,,,,,,,0.16172238,,,,,,,,,,0.01161999,,,,,,,,,,,,,,,,,,,,,,,,,0.04702556,,0.02180463,,,,,,,,,,,,,,,,,,,16.97881711,,,,,,12.79454093,,,,,,,,,,,,5.642e-05,,0.00564517,,,,,,,,,,,,2.06e-05,,,,0.09374652,,,,,,,,,,,0.15873568,,,0.44635787,1.00831731,,,,,,,,,,,,,4.20644086,,,,0.00028794,1.67607046,,,,,,,,,0.04443338,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45684194,,,,,,,,,0.01360816,,,,,,,,,,,,,,,,,37.09628465,,,,,,,,,,,,3.96835884,,,0.00392484,,,,,,,,,,,,,,,,,,,,,,,2.57967409,,1029.80964089,,,,,,,
2017-02-07T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00636465,,11.48846364,,,,,,,0.13339524,,,,,0.00040231,,,,,0.00230821,,0.2530275,,0.10851597,,,,,,,,,,,,,,0.15463441,,,,,,,,,,0.01175537,,,,,,,,,,,,,,,,,,,,,,,,,0.04670771,,0.02070713,,,,,,,,,,,,,,,,,,,17.0364668,,,,,,12.62125723,,,,,,,,,,,,5.334e-05,,0.00582281,,,,,,,,,,,,2.117e-05,,,,0.09622232,,,,,,,,,,,0.16486103,,,0.5079347,1.00624001,,,,,,,,,,,,,4.29188838,,,,0.00028585,1.55628838,,,,,,,,,0.04485841,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46680627,,,,,,,,,0.01709788,,,,,,,,,,,,,,,,,36.2819927,,,,,,,,,,,,3.97857523,,,0.00409714,,,,,,,,,,,,,,,,,,,,,,,2.56144763,,1058.42282824,,,,,,,
2017-02-08T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00642849,,11.4042121,,,,,,,0.12755516,,,,,0.00039335,,,,,0.00223155,,0.26344391,,0.10331968,,,,,,,,,,,,,,0.15110981,,,,,,,,,,0.01204699,,,,,,,,,,,,,,,,,,,,,,,,,0.04649307,,0.02023232,,,,,,,,,,,,,,,,,,,17.32769038,,,,,,12.80533157,,,,,,,,,,,,5.34e-05,,0.00628209,,,,,,,,,,,,2.126e-05,,,,0.09509423,,,,,,,,,,,0.16251574,,,0.50083243,1.01097084,,,,,,,,,,,,,4.56545904,,,,0.00028534,1.70592273,,,,,,,,,0.04365266,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44472608,,,,,,,,,0.01700735,,,,,,,,,,,,,,,,,35.26622731,,,,,,,,,,,,3.96878548,,,0.00399673,,,,,,,,,,,,,,,,,,,,,,,2.57041974,,1062.33809059,,,,,,,
2017-02-09T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00637457,,10.98456033,,,,,,,0.12642642,,,,,0.00038744,,,,,0.00215091,,0.24827985,,0.11217042,,,,,,,,,,,,,,0.14410429,,,,,,,,,,0.01128269,,,,,,,,,,,,,,,,,,,,,,,,,0.04616583,,0.01841935,,,,,,,,,,,,,,,,,,,16.53495322,,,,,,12.17028928,,,,,,,,,,,,4.989e-05,,0.00600044,,,,,,,,,,,,1.987e-05,,,,0.08860273,,,,,,,,,,,0.15428563,,,0.45048578,1.00640998,,,,,,,,,,,,,4.32232306,,,,0.0002778,1.94034653,,,,,,,,,0.04087058,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26147651,,,,,,,,,0.0176238,,,,,,,,,,,,,,,,,33.17560278,,,,,,,,,,,,3.75918706,,,0.00374531,,,,,,,,,,,,,,,,,,,,,,,2.76670804,,993.01359467,,,,,,,
